number,review
28,"Original review: Jan. 9, 2020
I ordered a Uber Jan 8th 2020. I saw the driver drive right past me and go to the block one block over. I texted him that he just passed me and to come back. I confirmed my address and he said no such address. Well he was wrong. He cancelled the trip and I got charged $5.25. And I saw the driver go back past me on his way out of the area. I scheduled another uber and he found me just fine.. The uber app was in error sending the driver to the next street over. The driver was in error for not answering my texts. And UBER corporate was wrong in denying me a $5.25 refund... USE LYFT INSTEAD, I DO NOW.... AND UBER IS IMPOSSIBLE TO CONTACT..."
29,"Original review: Jan. 9, 2020
Scheduled set appt for 3:00 a.m. pickup for ride to airport one week in advance. Received email confirmation. Driver did not show and you can imagine my panic as we were connecting to an international flight with a service dog. Called Uber to complain and have received nothing but the run around. Info from my app regarding the trip has been requested but it disappeared after the driver didn’t show. I don’t have access to that do you? The email Uber sends to provide that info insists you write your response “above this line or they will not respond”. I responded and with a copy of the confirmation and again received the same email with the same form letter. I wrote “above the line” and requested an email address to deal directly with customer service and again received the same form letter. Bye bye Uber. It’s Lyft for me from now on."
30,"Original review: Nov. 11, 2019
I don’t have a car and grocery shopping can be a real headache. I’ve called Uber to get home. I’ve asked the driver to help me carry in my bags - they always do, graciously - and I give them a good tip and rating. It’s a win-win!"
31,"Original review: Nov. 11, 2019
The driver drove too fast and reckless. Would not slow down. Stated she had to drop me off so she wouldn’t be late to pick up her kids. It was not my fault she arrived late. She said she was getting her hair cut and that is why she was late."
32,"Original review: Nov. 11, 2019
Uber is punctual, effective and affordable. My go to when I need a ride and don't want to pay the cost of taxi fare. I would highly recommend to anyone in need of a ride."
33,"Original review: Nov. 10, 2019
Have been using Uber and Uber Eats for years. I had recently used Uber and found a surcharge that had not been revealed to me until I had received my statement. I had asked for a refund without any response. I highly recommend NOT using this company. I am now a new Lyft customer."
34,"Original review: Nov. 10, 2019
I took an Uber from the Memphis Airport to my hotel. The driver knew my name. I was told the driver's name, car color and model and his license plate. I knew ahead of time what it would cost. Everything went on my credit card. It was very easy. I felt completely safe."
35,"Original review: Nov. 10, 2019
It's hard to imagine there are still people who haven't tried Uber. It's even harder to imagine people hailing taxi vans when Uber is available. Uber wins in every category: cost, safety, convenience, comfort, cleanliness, etc. Use it more while they are still burning through the venture capitalist money. Their cost will go up eventually, but the service is still going to be vastly superior to its alternatives."
36,"Original review: Nov. 10, 2019
Drivers have been very pleasant. Knowledgeable on various subjects, good conversation. Business minded people. Don't mind listening if you have a better route they can take. Always quick pick up when needed."
37,"Original review: Nov. 10, 2019
The process for getting a ride is easy through the Uber app. Knowing the identity of the driver and the car type and tag number before arrival gives an added measure of safety. Drivers are usually friendly and cars are clean. Frequent Uber user."
38,"Original review: Nov. 10, 2019
I use Uber very often for my family members and myself included. I am impressed so far and would continue to use this service. It is very cost effective, considering I don't think it's enough sometimes for the drivers. I've only had one bad experience with my driver speeding and got pulled over and given a ticket but he fixed it by making it right for me and giving me a free ride. So I am still very much happy with Uber."
39,"Original review: Nov. 9, 2019
If I could give them no stars I would.. I live in California and I am now in Greenville SC. Police and DMV allows me to drive with all my California documents but uBer does not. At first they said that I could drive, so I meet all the requirements and went to do my vehicle inspection in one of their recommended stores, paid, and then they rejected. So I called them and they said that it was because the inspection was filled out in the wrong paper. So I went to the store again, made them filled all the inspection again in their recommended paper only for them reject it again.. they screwed me up two times, lost money and time for nothing. I now understand why they are losing stock value big time.. because they really suck. I would never invest in this company ever. And I will never use their apps again.. Try Lyft!"
40,"Original review: Nov. 9, 2019
UBER'S NEW SCAM CHARGING FOR CLEANING AFTER YOU LEAVE CAR. Me and my children rode with this creepy, stinky man. He dropped us off and an hour later charged us for a! cleaning fee for no reason. Uber drivers are now hitting everyone with cleaning fees and using Fake Pictures to prove it."
41,"Original review: Nov. 9, 2019
Rarely on time often never showing up. Insult to injury? They still charge your card for cancellation after they failed! There's also the issue with the app often taking the consumer out of their way for additional charges. Then there the back and forth to determine what went wrong."
42,"Original review: Nov. 9, 2019
Uber needs to make additional progress on safety issues. Be it for the driver as well as for the rideshare. I’m an occasional female Uber driver. I can say firsthand that driver safety is the last thing on their mind. I got a request to pick up Joe **. Once there I see 6 big built male passengers walking towards my vehicle. I rolled down the window and asked Joe ** to identify himself, and he does. He said Uber told them my vehicle can fit 6 people. My vehicle only fits 4 passengers! Uber Drivers have no idea how many passengers are being picked up. Uber should take measures to avoid possible dangerous situations."
43,"Original review: Nov. 9, 2019
I ride almost always with Uber because they has good prices, constantly has promotions and the most important thing is that they care for your safety. I’ve had situations with drivers that turns aggressive to other drivers or that they gets mad for requests you make them, even though that’s established within the fares, and once you contact the customer service team they immediately take notes on the matter and compensates you in any way or the other. Also, if you have an issue during your trip, they provides you with tools to get emergency assistance wherever you are."
44,"Original review: Nov. 8, 2019
In one case my son called for an Uber pickup. When she arrived my wife got in the back seat on the right side and slid across the seat. My son went to the left side but my wife was there, I told my wife she needed to move to the center. My wife is Vietnamese and has hearing issues. So after telling her twice I grabbed her jacket sleeve between thumb and forefinger and told her ""firm Voice"", ""You need to move to the center so my son can get in."" The female driver turned to me and told me to get. She would not have that in her car. They (uber) sent another car and my son filed a complaint. Two weeks later my son needed to get to a surgeon office for an appointment. The car they sent went the wrong way. They sent a second car but charged me for the driver going the wrong way. If I am to continue to use uber they will have to improve."
45,"Original review: Nov. 8, 2019
Earlier this year, a person accidentally (I assume) typed in my email when creating an account instead of her own. Our emails are only one letter different, so I can understand the mistake. I immediately contacted Uber to tell them that I had never signed up for an account with my email and to delete or disconnect it. I assumed that they had taken care of it, as I got no further emails from Uber. Now I try to create my own Uber account, but all of the other person's information is attached to it, and Uber's customer service just gives me the run-around, refusing to correct the problem, refusing to even UNDERSTAND the problem, and telling me to go create a new email and new account. Absolutely not! - I will NOT allow another person to use MY email address for an account. What part of this is okay? Uber is allowing another person to use MY email address for their account and refuses to correct the issue. What an incredibly lack of security!"
46,"Original review: Nov. 8, 2019
We used two separate Uber drivers, one on the way to a concert in downtown Austin and the second driver took us back home. Both drivers were safe drivers, their cars were clean and comfortable, and they readily adjusted their thermostat in their car to accommodate our comfort level. The second driver that picked us up from the concert was able to get very close to the arena exit doors. We did not have to walk very far at all to get to his car after the concert. He was there waiting when we walked outside so we did not have to wait at all for him to make his way through the traffic to pick us up. Overall both rides were a good experience."
47,"Original review: Nov. 8, 2019
Its overall service was great. The only major concern is lack of interior cleanness. Almost all of the cars were dirty and filthy as all window and door handlers were not clean (full of finger/hand oils)."
48,"Original review: Nov. 8, 2019
Newer vehicle, clean, owner was professional, dressed well & most courteous. Very knowledgeable of area, knew routes to avoid traffic congestion. Polite, helpful, on time and excellent driver. Will continue to use UBER."
49,"Original review: Nov. 7, 2019
I've been using Uber for 10 years..when it began in SF, Ca. I used it in NYC, NJ and now Los Angeles, CA. I cannot drive due to my disability and before uber I had to live in cities with great mass transit like SF and NYC. But because of Uber and their amazing cost (comparison to a car) concern of their riders/drivers...I am available to live anywhere in the world now. (Well almost!) I've met amazing drivers, people...and in my 10 years have only had 3 or 4 drivers I've had to make a report on their behavior. (It's like customer service...some people are just not made for it)."
50,"Original review: Nov. 7, 2019
I had not used Uber before and was staying at a hotel. I asked someone at the desk to help me order a ride for the next AM. That morning 6 Ubers showed up, all but one driver understood, 5 excused the order but 1 driver not only would not but was very ugly to me. My bank had to decline the charge as he would not. The next Am a wonderful driver came and helped me and I had a wonderful ride and great talks on my way."
51,"Original review: Nov. 7, 2019
The Uber driver and vehicle were as I would hope in public transportation. He took the most direct route and got me to my destination in the estimated time. My only frustration was not with Uber but rather the Sporting Venue I attended. They promoted the Uber/Lyft as a good option and a specific pick up and drop off location. However, they did not have any signage or directions to the Pickup/drop off point. I think the idea was great, execution poor. Maybe the UBER/LYFT companies could provide some signs for directions to spot to the venues."
52,"Original review: Nov. 7, 2019
I took an Uber to my home recently, while my car was being serviced. My criteria when rating a ride: Timeliness, Cleanliness, Vehicle Condition, Driver Navigation & Friendliness. All of these were met, & the driver was very pleasant as well. I gave him a ""5"" star review on Uber's app. (I also tipped him $4.00 on a $12.00 ride) On these merits, I'd definitely recommend taking Uber. However, I do have issues with Uber charging me two days later for a ride I didn't request, or take! I am requesting a refund, But still.... I shouldn't have to argue with Uber Reps when they're at fault."
53,"Original review: Nov. 6, 2019
I gave Uber my condo community gate code. They did not come to my door. I decided to wait at the gate. I hauled 2 large duffle bags, a carry-on and a backpack to the gate. I'm 72 years old, it nearly killed me. The driver was late. He said he doesn't enter gated communities. I didn't get my ""within 10 minutes"" discount. Next time I'll call a cab."
54,"Original review: Nov. 6, 2019
My driver was very engaged and interested in getting me back to work from the dealership, having dropped my car off for service. He was open to my direction on a shortcut and we chatted about how he got into the business all the way to my work. He shared interesting details, was very professional, the car was clean and smelled wonderful and he offered to make any music or temperature changes I would like. It was a great ride!"
55,"Original review: Nov. 6, 2019
1. Ride arrivals times are frequently changed. 2. Prices from airport is 3 times than home to airport 3. When traveling abroad, frequently Uber drives cancels the ride and I am penalized. It is very difficult to get charged reversed after 2 times. 4. It is very hard to get customer service on the phone. 5. If I cancel, I pay the penalty but if driver canceled the ride, there is no reimbursement or discount on substitute ride."
56,"Original review: Nov. 5, 2019
I don’t like being charged a wait fee when they are not waiting on me. They pull up in right there and get in. There is no waiting on me. That fee should be shown before I tip the driver. You charge me extra for something that doesn’t happen is wrong. I would leave no tip are smaller."
57,"Original review: Nov. 5, 2019
I am a part-time UberSelect Driver-Partner, working in Montreal. Recently, Uber made some changes to the categories of Rides, adding UberComfort and UberPremiere. I contacted the support through the app, to inquire how come my 2017 Audi A4, a luxury sedan, isn't eligible for those rides, especially since I have a nearly perfect score of 4.93 stars, and all I have been getting is the worst ever run-around, completely ignoring my requests to escalate to a Team Leader or a Supervisor or a Manager/Director in my area whom I can ACTUALLY SPEAK TO, and they keep copy-pasting replies that make absolutely no sense whatsoever. I guess they're all the way in India the support team, because they can't even comprehend basic English.
I find it ridiculous that they keep ignoring my request to escalate the matter. It's very frustrating, and it's been going on for 4-5 days now, with Deekshit and his colleagues at support doing the worst job ever to help me. I am appalled at this extremely disappointing and unsatisfactory level of service/support I have received, which is by far the WORST EXPERIENCE of my life. If I can give them ZERO STARS, I would. They really are terrible!

                    
                "
58,"Original review: Nov. 5, 2019
Made a great friendship from my first ride to my appt! She was so respectful and I could talk to her about anything! I could put my trust in. I miss her so much! She always was there when I needed her! Now I have moved back to Illinois and miss the rides and talks we shared! I hope someday I can get a ride from her and talk again soon! Your friend Mary."
59,"Original review: Nov. 5, 2019
Better than a taxi any day. Taxi have ripped off its customers for years and finally, a alternative is available. Political pressure from the News and Politiations upset because they don't get the kickback from regulations threaten the company but Uber is safer than Taxi, you know who and the car coming to pick up even the location on the map."
60,"Original review: Nov. 5, 2019
Love the concept and it's much nicer than riding in a taxi cab with people who generally aren't all that happy to work there. This way you have a personable driver and can have a good experience. Haven't had one bad experience yet but if I did I would make it known to the company right away."
61,"Original review: Nov. 4, 2019
First, I picked UBER POOL as it was 40.00 cheaper than just UBER. I was given 89.00 for my complete fare on the app.. Which told me that was it. Didn't press anything else. THIS WAS THE COMPLETE PRICE THAT UBER put on my cell phone. The next day, I got a charge of 109.98, on my credit card. Plus I gave the driver cash tip. I DIDN'T approve any tip. They put an extra tip charge in addition to the 109.98. I was told that because I didn't take a picture of the day of service price, that it's my word against theirs. Basically calling me a liar. They now have a surcharge of LAX 4.50, 2.50 FOR PICK UP. Fee upon fee. Should have taken a taxi."
62,"Original review: Nov. 4, 2019
Overall I am very satisfied with the service and don't need to give any other advice. The price and service are both great and the speed of arrival is great, only allow experienced drivers for Uber not new comers please."
63,"Original review: Nov. 4, 2019
For the most part I've been very happy with Uber and their drivers. I do feel at times the cost is a bit too much but overall I'm very happy with Uber. In all the times that I've ridden with Uber I've only had one person who didn't know where she was going and took us way out of our way but other than that it's been great!"
64,"Original review: Nov. 3, 2019
Better GPS for their customer to track their driver with picture and check back with customer to make sure their driver and customer connected safely. A picture 
and 2 ways to determine who the person is should be shared between the driver and customer. This way there is a face just in case something goes wrong."
65,"Original review: Nov. 3, 2019
After an event the longer you wait to call Uber the cheaper it gets. Or if you walk away from the event to another place that is away from the event then call. They will almost always ask what kind of music you like."
66,"Original review: Nov. 3, 2019
THE DRIVERS WERE GREAT! BOTH WAYS TO AND FROM THE AIRPORT. While coming back from the airport there was a major traffic jam. The driver took an alternate route because it was late at night, and he paid the tolls, so I tipped him well. He deserved it!"
67,"Original review: Nov. 2, 2019
We have used Uber several times. Some are very good, some ok, and one awful. All have been punctual. But the quality and cleanliness varies. The awful one was smelly and we almost had an accident within two minutes. He ran the stop sign. The car was dirty and smelly and if we hadn’t had to be on time, we would have gotten out. The best one was an immaculate SUV. It looked brand new even though it was about 7 years old. The driver was polite, cautious, very neatly dressed. He had free water in front and in back and little cups with candies in the cup holder. He was a real professional and made the last leg of our trip a pleasure."
68,"Original review: Nov. 2, 2019
We have used Uber about 6 times and have never been disappointed. The drivers have been wonderful. All have been personable and knowledgeable of the areas we were in. I would definitely use them again."
69,"Original review: Nov. 2, 2019
We used UBER in Romania, excellent experience, we did not need to use TAXI, bus, rent car, the UBER arrived withing maxim 10 minutes and we knew the status within seconds how long time we would need to wait."
70,"Original review: Nov. 2, 2019
We got an Uber driver when in Orlando and he was magnificent. I tipped well, so he came back to Universal Studios and picked us up for free. Gave us his cell number. He drove safely, was courteous, and very accommodating. Answered many of our questions about Orlando as well, and Florida in general."
71,"Original review: Nov. 1, 2019
I only take it when absolute necessary because I feel like the people aren't screen properly and that there's a high chance that I could be assaulted or killed by the driver."
72,"Original review: Nov. 1, 2019
I used Uber while I was on a trip in California. They are a great company that I would recommend anyone to use for their transportation service. They got me to my destinations safely and were friendly to me. I like the ride-sharing service too to help save on cost."
